s2_full,s2_partial,l8_full,l8_partial
29;72;129,,72;73;74,
43;86;143,,66;67;68,
29;86;129,,70;71;72;73,
57;100,,64;65,
57;100;143,,64;65,
100;143,,65;66,64
100;143,,64;65;66,
100;143,,65;66,
100;143,,65;66;67,
43;100;143,,65;66;67,
43;143,,66;67,
43;143,,66;67,68
43;143,,66;67;68,
43;143,,67;68,66
29;129,,71;72,73
29;129,,72;73,
14;114,,60;61,
14;114,,60;61;62,
14;114,,61;62,
14;57,,61;62,
14;57,,61;62;63,
86;129,,69;70;71,
43;86;143,,67;68,
86;129,43,69;70;71,
72;115,15;29,74;75;76,
72;115,29,74;75;76,
29;72;115,,74;75;76,
72;115,,74;75;76,
43;100;143,,66;67,65
43;100;143,,66;67;68,
29;86;129,,71;72,
29;72;129,,72;73,
29;72;129,,72;73,74
29;72;115;129,,72;73;74,
29;72;115;129,,72;73;74;75,
29;72;129,,72;73;74,71
29;72;115;129,,73;74;75,
29;72;115,129,73;74;75,
29;72;115,,73;74;75;76,
29;72;86;129,,70;71;72;73,
29;72;86;129,,71;72;73,
43;86;129,,68;69;70;71,
29;43;86;129,,69;70;71,
29;43;86;129,,69;70;71;72,
29;86;129,43,69;70;71;72,
29;86;129,,69;70;71;72,
43;86;129;143,,68;69;70,
29;72,,73;74;75,
29;72;115,,74;75,
15;58;72;115,,75;76;77,
15;29;72;115,,74;75;76,77
15;29;72;115,,74;75;76;77,
15;72;115,29,74;75;76;77,
15;72;115,,74;75;76;77,
15;72;115,,75;76;77,74
15;72;115,58,75;76;77,
15;58;72;115,,75;76;77;78,
15;58;72;115,,75;76;77,78
15;58;72;115,,76;77;78,
15;58;72;115,,76;77;78,75
15;72;115,58,75;76;77,78
15;58;115,,76;77;78,
15;29;72;115,,73;74;75;76,
29;72;115,15,73;74;75;76,
29;72;115,15,74;75;76,
15;72;115,29,74;75;76,
57;100,143,64;65,
71;114,,58;59,60
71;114,,58;59;60,
71;114,,59;60,
71;114,28,58;59,
29;129,86,71;72,
129,29;86,71;72,
28;71,,57;58,56
43;86,129,69;70,
43;86,143,68;69,67
100;143,57,64;65;66,
43;86,143,68;69;70,
43;86;143,,68;69;70,
43;86;143,,68;69,70
86;129,,70;71,69
86;129,,70;71,72
86;129,,71;72,70
86;129,29,71;72,
29;72,,73;74,
29;129,,72;73,71
29;129,72,72;73,
43;86;129;143,,68;69;70,67
43;86;129;143,,67;68;69;70,
43;86;143,,67;68;69;70,
29;72,,73;74,75
43;86;143,,67;68,69
43;143,100,66;67;68,
29;86;129,,70;71,72
29;86;129,,69;70;71,
29;86;129,,70;71,
29;72,,72;73;74,
29;72,129,72;73;74,
29;86;129,,69;70;71,72
86;129,29,71;72,70
86;129,29,70;71,72
57;100,,64;65,63
28;128,,55;56;57,
28;71,,56;57,58
28;128,,56,
128,,55;56,
29;72;129,,72;73;74,75
12,,29,28
69;112,,27,26
112,69,27,
126,26,23,
112,,28,27
112,12,28,27
12;112,,28,29
12,112,28;29,
12,112,29,28
112,12,27;28,
69,112,26,27
40;140,,19,18
40,140,19,
40,,19,20
40;83,,20,21
40,,20,19
40,83,20,
83,,21,22
97,,16,17
27,127,40,
84;127,,37;38,
84;127,,38,37
113,,44,45
113,,44;45,
70;113,,43,42
84,,38,
84,127,38,
41,141,35,
84,,37,38
41;84,,36,37
84,,38,37
98,,32,33
98,141,33,
27;70,,41,42
84,127,38,37
126,,23,22
126,,22,23
69,26,25,26
26;126,,23,24
1;58;101,,80;81;82,83
15;58;115,,77;78,
15;58;115,,77;78,76
15;58;115,,77;78;79,
15;58,,77;78;79,
15;58,,78;79,
15;58;101,,78;79;80,
15;58,,78;79;80,
15;72;115,,75;76,
72;115,15,75;76,
72;115,,75;76,74
15;72;115,,75;76,77
15;72;115,,76;77,
15;58;101,,79;80;81,
58;101,,79;80;81,
1;58;101,,80;81,79
1;58;101,,79;80;81,
1;58;101,,80;81,
1;58;101,,80;81;82,
1;58;101,,81;82,
1;101,,81;82,
1;44;101,,81;82;83,
1;101,,81;82;83,
1;44;101,,82;83,
15;58;101,,79;80,
1;58;101,,80;81,82
15;72;115,,76;77;78,
15;72;115,,76;77,78
15;115,,76;77;78,
15;115,58,76;77;78,
15;58;101,,78;79,
15;58;101,,77;78;79;80,
15;58;101;115,,77;78;79;80,
15;58;101;115,,77;78;79,
15;58;101,,78;79;80;81,
1;58;101,,79;80;81;82,
1;58;101,,79;80;81,82
1;58;101,,80;81;82,79
29;72,,74,73;75
1;44;58;101,,81;82;83,
1;44;101,,81;82;83;84,
1;44;58;101,,80;81;82;83,
1;44;101,58,81;82;83,
1;44;58;101,,80;81;82,
1;44;58;101,,80;81;82,83
15;58;101,,79;80,78
15;115,,77;78,
15;58;115,,77;78,79
15;115,,76;77,
15;115,,76;77,78
15;72;115,,75;76;77,78
15;58;115,,76;77;78;79,
1;101,58,81;82,83
1;101,58,81;82,
15;58,115,77;78;79,
15;58,,78;79,77
15;58,,78;79,80
15;58,101,78;79;80,
72;115,,75;76,77
15;115,58,77;78,
72;115,15,75;76;77,
15;115,72,76;77,
15;72;115,,76;77,75
72;115,,75;76;77,
15;115,,77;78,76
72;115,,74;75,
72;115,15,75;76,77
29;72,,73;74,72
1;44;87;101,,82;83;84,
1;44;87,,83;84;85,82
1;44;87,,83;84;85,
1;44;87,,82;83;84;85,
72;115,29,74;75,
29;72,115,73;74;75,
1;44;58;101,,81;82;83,80
1;15;58;101,,78;79;80;81,
15;58;101,,78;79;80,81
15;58;101,1,78;79;80;81,
1;15;58;101,,79;80;81,78
1;15;58;101,,79;80;81;82,
1;58;101,15,79;80;81;82,
1;58;101,44,80;81;82,
15;58;115,72,76;77;78,
15;58;101,,79;80,81
1;58;101,,80;81;82;83,
1;58;101,,81;82;83,
1;15;58;101,,79;80;81,82
1;44;101,,82;83,84
1;101,,81;82,83
15;58,,79;80,
15;58,101,79;80,
29,,72;73,
29;72,,74,
29;72,,74,75
72,,74;75,
72,29,74;75,
115,,76;77,
29;72;115,,74;75,76
97,140,17,
54,97,15,16
140,97,17,18
97,,17,16
82,,5,4
82,,4,5
84,127,37;38,
84;127,,38,39
100,,66,65
15;29;72;115,,74;75;76,73
29;86;129,,70;71;72,73
85;128,,54,53
85;128,,54,
85;128,,54,55
85;128,,55,56
85;128,,55;56,
128,85,55;56,
85;128,,55,
85;128,,55,54
85;128,,55,54;56
85;128,,54;55,56
85;128,,54;55;56,
85;128,,55;56,54
128,28,55;56,
128,85,55,56
12;55,,30,29
12;55,,30,31
126,83,22,
83,,22,21
13,,46,45
13,,45,46
70;113,,43,44
12,55,29;30,
83,126,22,
83,126,21;22,
11;111,,12,13
28,,56;57,
28,128,56;57,
28;71,128,56;57,
28;128,71,56;57,
11,,13,12
40,140.0,19,
11,,13,14
41,141.0,35,
12,55.0,29;30,
127,84.0,,38;39
141,41.0,34;35,
27,127.0,40,41
40;140,,18,
140,40.0,18,
40;140,,18,19
41,141.0,35;36,
41;141,,35,36
54,,15,14
12,112.0,29,28;30
26,69.0,24;25,
56;99,,48,47
56,,47,48
56,13,46;47,
41,84,36;37,
13,56,46,
113,13,44;45,
97,140,16;17,
41,141,35;36,
140,97,17;18,
127,84,38,39
15;115,72,76;77;78,
15;58,101;115,78;79,77;80
58;101,15,79;80;81,
58;101,1,79;80;81,
15;58,101,78;79,
29;86;129,,70;71;72,73.0
29;72;129,,71;72;73,74.0
29;72;129,,72;73;74,71.0
29;72;129,115,72;73;74,
29;72;115;129,,72;73;74,75.0
29;72;129,86,71;72;73,
15;72;115,,75;76;77;78,
15;72;115,,75;76;77,74.0
15;72;115,,74;75;76,77.0
15;72;115,,75;76;77,78.0
15;58;72;115,,76;77;78,75.0
12;55,,30,29.0
29;86;129,,71;72,70.0
29;129,86,71;72,73.0
29;129,,71;72,73.0
86;129,29,70;71,
29;86;129,,70;71,72.0
86;129,,70;71,72.0
86;129,29,70;71;72,
141,,34,33.0
55;98,,32,31.0
98,55,32,
98,,32,33.0
55,,31;32,
55,98,31;32,
43;86,,68;69,70.0
43;86,,69;70,68.0
86;129,43,69;70,
86;129,,69;70,
86,,69;70,
86,129,69;70,
86,43,69;70,
86;129,,69;70,71.0
86;129,,70;71,69.0
100;143,,65;66,64.0
100;143,,65;66,67.0
100;143,43,65;66;67,
29;129,,72;73,71.0
140,40,18,
13,,46,45.0
15;58;101,,78;79;80,77.0
15;58;101,115,77;78;79;80,
15;58;101;115,,77;78;79,80.0
15;58;115,72,76;77;78,79.0
15;58;115,,76;77;78,79.0
15;72;115,58,75;76;77;78,
15;58;115,72;101,76;77;78,79.0
15;58;101;115,,77;78;79,76.0
15;58;115,101,76;77;78;79,
15;58;101;115,,76;77;78;79,
15;58;115,101,77;78;79,76.0
15;58;115,101,77;78;79,
15;58;115,,77;78;79,76.0
15;58;101,115,78;79;80,77.0
15;58;101;115,,77;78;79,80
54,11.0,14,
41,,36,35
98,,33,32
98,141.0,33,
55,12.0,30;31,
84,127.0,37;38,
127,84.0,38;39,
27,,41,40
98,55.0,32,
12,55.0,30,
55,,31,30
55,,30,31
55,12.0,30,
70,,42,43
29;72;129,,72;73,74.0
29;72,129,72;73,74.0
29,72;129,72;73,74.0
29;72,,72;73,74.0
29,72;129,72;73,
29,129,72;73,
29,72,72;73,74.0
29;72,,73;74,72.0
29,,72;73,74.0
29,72,72;73;74,
12,55,30,
12,,30,29.0
55,,31,32.0
55,,31,30.0
55,,30,31.0
98,,33,32.0
111,11,11;12,
72;115,,75;76,77.0
72;115,15,75;76,77.0
15;72;115,,76;77,75.0
15;115,,76;77,78.0
15;115,,77;78,76.0
55;98,,31,
55;98,,31,32.0
12;55,,30,31.0
55,98,31,
98;141,,33,34.0
27,70,41,
27,,41,40.0
55,12,30,
69,112,27,
69,112,27,26.0
13;56,,46,47.0
83,126.0,22,21.0
84,127.0,38,
84;127,,38,39.0
40;140,,18,19.0
69,112.0,27,26.0
141,,34,35.0
27,,40,41.0
13;56,,46,45.0
13,56.0,45;46,
55,98.0,31;32,
141,98.0,33;34,
126,83.0,22;23,
126,83.0,22,23.0
13,56.0,46,45.0
140,97.0,17,18.0
27;70,,40;41,
27;70,,41,40.0
27;127,,40;41,
27;127,,40,41.0
27;127,,40,39.0
127,27.0,39;40,
113,,44,45.0
140,,18,19.0
84,41.0,37,
140,40.0,18;19,
40;140,,19,18.0
84;127,,38,37.0
41;84,,37,36.0
97,140.0,17,16.0
70,,41;42,
113,13.0,44;45,
113,13.0,44,45.0
84,,37,38.0
70,27.0,42,41.0
85;128,,55,54.0
128,85.0,55,
128,,55,
128,85.0,55,56.0
128,,55,56.0
70,,42,41.0
27;70,,41,42.0
27,70.0,41,
98;141,,32;33,
98,141.0,32;33,
40,,19,20.0
26;69,,25,24.0
41;141,,35,34.0
41;84,,36,37.0
11,,13,14.0
41,,35,36.0
41;141,,35,36.0
27,70.0,40;41,
27,127.0,40;41,
113,70.0,43;44,
98;141,,33,32.0
40,,20,19.0
127,,39,40.0
11,,13,12.0
141,,35,34.0
27,127.0,40,
40,83.0,20,
70,27.0,41;42,
83,40.0,21,20.0
55,,31,32
27;70,,42,41
70,27.0,42,
27;70,,42,
70,27.0,42,41
140,40.0,,18;19
41,84.0,36,37
141,,35,34
141,41.0,35,
141,,34,35
55;98,,31,32
55,98.0,31,
55;98,,32,31
70,113.0,43,42
70,113.0,42;43,
11;54,,14,13
127,,39,38.0
41,84.0,36;37,
41,,36,37.0
113,13.0,44,
43;86,143.0,68;69,
27;127,,40,39
111,,11,12
68;111,,11,
111,68.0,11,
68;111,,11,10
13,113.0,45,46
98,55.0,32,31;33
70,,42,43.0
70,113.0,43,
27;70,,42,41.0
83,,21,22.0
27,,40,41
13;113,,44,45
13;56,,46,47
55,98.0,31,30;32
55,12.0,30,31
113,13.0,44,43;45
69,112.0,26,27
68;111,,11,10.0
15;58;115,,77;78,79.0
83,,22,21.0
100;143,57.0,64;65;66,
98;141,,33,32
68,,10,
68,111.0,10,
68;111,,10,11
111,68.0,11,10
11;111,,12,11
97,140.0,17,16
113,13.0,,44;45
41,141.0,35,36.0
56,,47,48.0
56,13.0,47,46.0
143,,67,
56,99.0,47;48,
56,99.0,47,48.0
57;100;143,,64;65,63.0
43;86;143,,68;69,67.0
43;86,129.0,69;70,
43;86;129,,69;70,71.0
43;86;129,,69;70,68.0
43;86;129,29.0,69;70;71,
86;129,43.0,69;70;71,
57;100;143,,63;64;65,
100;143,43.0,65;66;67,
43;100;143,,66;67,65.0
43;143,100.0,66;67,
43;143,,66;67,68.0
39,,3;4,
39,,4,3
29;129,72.0,72;73,
29;72,129.0,72;73;74,
57;100;143,,64;65,66
43;143,86.0,67;68,
112,69.0,27,28
