s2_full,s2_partial,l8_full,l8_partial
43;86;143,129,67;68;69,
54,11,14,15
28;71,114,57;58;59,
13;56,,46,45
43;100;143,,64;65;66,67
83,126,22,21
86;129,43,70;71,69
57,14;100,,62;63;64;65
27;70,,41,40
14;57,,61;62,63
112,69,27,28
43;86;129;143,,67;68;69,70
83,,,21;22
113,13,44,
113,70,43;44,
114,14;71,60,59;61
11,54,13,14
15,,77;78,
14;57,114,61;62,
100;143,57,64;65,66
1;101,44,81;82;83,
14;57,114,61;62,63
43;100;143,57,64;65;66;67,
28;128,,56,55;57
70,,42,41
27,127,40;41,
127,27.0,39,
86;129,29.0,70;71;72,
14;57,114.0,61;62,
71;114,28.0,58;59,
126,26.0,23,24
29;43;86;129,,69;70;71,72
43;100;143,86.0,66;67;68,
86;129,29.0,70;71,72
43;86,143.0,68;69,67
68,,10,9
43;100;143,57.0,64;65;66;67,
85;128,,54,53;55
43;143,86.0,67;68,69
43;100;143,57.0,64;65;66,
45,,100;101,
14;114,71.0,60;61,59
15,115.0,77;78,
28;128,,56;57,55
28;71,114.0,58;59,57
14;114,,60;61,59
28;71;114,,58;59,57
1,,82;83,
14;57,100.0,62;63;64,
71;114,14.0,59;60,61
14;114,71.0,60,59;61
29,129.0,72;73,
14;57,100.0,63;64,62
14;57,100.0,62;63,64
28;128,71.0,56;57,
56;99,,48,49
14;57,100.0,62;63,
15;58,101.0,78;79,80
28;71,114.0,57;58;59,
54,,,14;15
11;54,,13,
54,97.0,15,16
126,83.0,22,23
11,,13,12;14
128,85.0,55;56,
40,83.0,19;20,
83,126.0,,21;22
113,70.0,43,44
29,129.0,72;73,74
28;71,114.0,58,57;59
57;100;143,43.0,64;65;66,
43;143,100.0,66;67,68
15;58;101,,79;80,78;81
14;57,,62;63,61
57;100,14,63;64,62
43;143,100,66;67,68
57,14;100,63,62;64
1;58;101,,81;82;83,80
14;57,,62,61;63
14,57;114,61;62,
29;72,115,74;75,
11,54;111,,12;13;14
1;58;101,,81;82,80;83
86;129,43,69;70,71
