date,path,coverage
2021-01-03,97,full
2021-01-11,98,full
2021-01-19,97,full
2021-01-27,98,full
2021-02-04,97,full
2021-02-12,98,full
2021-02-20,97,full
2021-02-28,98,full
2021-03-08,97,full
2021-03-16,98,full
2021-03-24,97,full
2021-04-01,98,full
2021-04-09,97,full
2021-04-17,98,full
2021-04-25,97,full
2021-05-03,98,full
2021-05-11,97,full
2021-05-19,98,full
2021-05-27,97,full
2021-06-04,98,full
2021-06-12,97,full
2021-06-20,98,full
2021-06-28,97,full
2021-07-06,98,full
2021-07-14,97,full
2021-07-22,98,full
2021-07-30,97,full
2021-08-07,98,full
2021-08-15,97,full
2021-08-23,98,full
2021-08-31,97,full
2021-09-08,98,full
2021-09-16,97,full
2021-09-24,98,full
2021-10-02,97,full
2021-10-10,98,full
2021-10-18,97,full
2021-10-26,98,full
2021-11-03,97,full
2021-11-11,98,full
2021-11-19,97,full
2021-11-27,98,full
2021-12-05,97,full
2021-12-13,98,full
2021-12-21,97,full
2021-12-29,98,full
