date,path,coverage
2024-01-01,43,full
2024-01-02,45,full
2024-01-08,44,full
2024-01-09,43,full
2024-01-10,45,full
2024-01-16,44,full
2024-01-17,43,full
2024-01-18,45,full
2024-01-24,44,full
2024-01-25,43,full
2024-01-26,45,full
2024-02-01,44,full
2024-02-02,43,full
2024-02-03,45,full
2024-02-09,44,full
2024-02-10,43,full
2024-02-11,45,full
2024-02-17,44,full
2024-02-18,43,full
2024-02-19,45,full
2024-02-25,44,full
2024-02-26,43,full
2024-02-27,45,full
2024-03-04,44,full
2024-03-05,43,full
2024-03-06,45,full
2024-03-12,44,full
2024-03-13,43,full
2024-03-14,45,full
2024-03-20,44,full
2024-03-21,43,full
2024-03-22,45,full
2024-03-28,44,full
2024-03-29,43,full
2024-03-30,45,full
2024-04-05,44,full
2024-04-06,43,full
2024-04-07,45,full
2024-04-13,44,full
2024-04-14,43,full
2024-04-15,45,full
2024-04-21,44,full
2024-04-22,43,full
2024-04-23,45,full
2024-04-29,44,full
2024-04-30,43,full
2024-05-01,45,full
2024-05-07,44,full
2024-05-08,43,full
2024-05-09,45,full
2024-05-15,44,full
2024-05-16,43,full
2024-05-17,45,full
2024-05-23,44,full
2024-05-24,43,full
2024-05-25,45,full
2024-05-31,44,full
2024-06-01,43,full
2024-06-02,45,full
2024-06-08,44,full
2024-06-09,43,full
2024-06-10,45,full
2024-06-16,44,full
2024-06-17,43,full
2024-06-18,45,full
2024-06-24,44,full
2024-06-25,43,full
2024-06-26,45,full
2024-07-02,44,full
2024-07-03,43,full
2024-07-04,45,full
2024-07-10,44,full
2024-07-11,43,full
2024-07-12,45,full
2024-07-18,44,full
2024-07-19,43,full
2024-07-20,45,full
2024-07-26,44,full
2024-07-27,43,full
2024-07-28,45,full
2024-08-03,44,full
2024-08-04,43,full
2024-08-05,45,full
2024-08-11,44,full
2024-08-12,43,full
2024-08-13,45,full
2024-08-19,44,full
2024-08-20,43,full
2024-08-21,45,full
2024-08-27,44,full
2024-08-28,43,full
2024-08-29,45,full
2024-09-04,44,full
2024-09-05,43,full
2024-09-06,45,full
2024-09-12,44,full
2024-09-13,43,full
2024-09-14,45,full
2024-09-20,44,full
2024-09-21,43,full
2024-09-22,45,full
2024-09-28,44,full
2024-09-29,43,full
2024-09-30,45,full
2024-10-06,44,full
2024-10-07,43,full
2024-10-08,45,full
2024-10-14,44,full
2024-10-15,43,full
2024-10-16,45,full
2024-10-22,44,full
2024-10-23,43,full
2024-10-24,45,full
2024-10-30,44,full
2024-10-31,43,full
2024-11-01,45,full
2024-11-07,44,full
2024-11-08,43,full
2024-11-09,45,full
2024-11-15,44,full
2024-11-16,43,full
2024-11-17,45,full
2024-11-23,44,full
2024-11-24,43,full
2024-11-25,45,full
2024-12-01,44,full
2024-12-02,43,full
2024-12-03,45,full
2024-12-09,44,full
2024-12-10,43,full
2024-12-11,45,full
2024-12-17,44,full
2024-12-18,43,full
2024-12-19,45,full
2024-12-25,44,full
2024-12-26,43,full
2024-12-27,45,full
