s2_id,s2_acq_id,l8_9_id,l8_9_acq_id
43_86_143,1_2_4,67_68_69_66p,1_10_3_12p
29_86_129,2_3_5,71_72_73_70p,13_15_6_8p
57_100_14p,3_5_2p,63_64,14_7
57_100,3_5,63_64_65p,14_7_5p
14_57_100,2_3_5,63_64_62p,14_7_16p
85_42p,2_4p,53_54,1_8
14,2,62,16
14,2,63,7
29_86_129,2_3_5,71_72_73p,15_6_13p
58_101,3_5,80_81,14_5
58_101_1p,3_5_1p,80_81,14_5
1_58_101,1_3_5,81_82_80p,12_5_14p
1_101_44p,1_3_4p,81_82_83,12_3_5
15_72_115_58p,1_2_4_5p,76_77_78,16_2_9
15_72_115,1_2_4,76_77_78_75p,16_2_9_11p
15_58_115,2_4_5,77_78_76p_79p,16_9_2p_7p
15_58_101,2_3_5,77_78_79,16_7_9
15_58_101,2_3_5,78_79_77p,16_7_9p
15_58_101,2_3_5,78_79_80p,16_7_14p
15_58_101p,2_5_3p,77_78_79,16_7_9
57_100,3_5,64_65p,14_5p
1_44_87_101,1_2_3_4,82_83_84_85,1_10_12_3
1_44_87,1_2_4,82_83_84_85p,10_12_3_1p
1_44_101_87p,1_3_4_2p,82_83_84,10_12_3
1_44_87,1_2_4,82_83_84,10_12_3
1_44_87_101p,1_2_4_3p,82_83_84,10_12_3
29_72_115p,1_3_4p,74_75,11_4
72_115,1_4,74_75_76p,11_4_2p
43_86_129,2_4_5,69_70_71_68p,1_15_8_10p
43_86_129,2_4_5,68_69_70_71p,1_10_8_15p
43_86_129p,2_4_5p,68_69_70,1_10_8
43_100_143,1_3_4,66_67_68p,12_3_10p
14_114,2_4,59_60_61,11_2_9
14_71_114,1_2_4,59_60_61,11_2_9
14_71_114,1_2_4,59_60,11_2
14_114_71p,2_4_1p,59_60_61,11_2_9
14_71_114,1_2_4,59_60_61p,11_2_9p
14_114,2_4,61_62_60p,16_9_2p
14_57_114,2_4_5,61_62,16_9
14_114_57p,2_4_5p,61_62,16_9
14_57,2_5,61_62_63p,16_9_7p
29_72_115,1_3_4,74_75_73p,11_4_13p
29_129_72p,3_5_1p,72_73_71p,13_6_15p
43_86_143,1_2_4,67_68_69_70p,1_10_3_8p
43_86_143,1_2_4,67_68_66p,10_3_12p
43_86_129_143p,2_4_5_1p,68_69_70,1_10_8
43_86_143,1_2_4,68_69_70_67p,1_10_8_3p
43_86_143_129p,1_2_4_5p,68_69_70,1_10_8
29_72_129p,1_3_5p,73_74_72p,13_4_6p
1_58_101_44p,1_3_5_4p,80_81_82_83,12_14_3_5
1_58_101_44p,1_3_5_4p,80_81_82_83p,12_14_5_3p
1_44_101,1_3_4,81_82_83_84p,12_3_5_10p
1_44_101,1_3_4,82_83_84_81p,10_12_3_5p
15_58_101_1p,2_3_5_1p,79_80_81,14_5_7
43_143_86p,1_4_2p,66_67_68,10_12_3
43_86_143p,2_4_1p,68_69_70p,1_10_8p
72_115_15p,1_4_2p,74_75_76,11_2_4
15_72_115,1_2_4,75_76_74p,11_2_4p
86_129_29p,2_5_3p,69_70_71,1_15_8
29_86_129,2_3_5,70_71_69p,15_8_1p
86_129_29p,2_5_3p,70_71_69p,15_8_1p
1_58_101,1_3_5,81_82_83_80p,12_3_5_14p
1_58_101_44p,1_3_5_4p,81_82_83,12_3_5
28_85_128,2_3_5,55_56,15_6
1_58_101_15p,1_3_5_2p,79_80_81,14_5_7
29_72_115_129,1_3_4_5,73_74_75_72p,11_13_4_6p
29_72_115,1_3_4,73_74_75_76p,11_13_4_2p
29_72_86_129,1_2_3_5,71_72_73_70p,13_15_6_8p
29_43_86_129,2_3_4_5,69_70_71_72p,1_15_8_6p
29_86_129,2_3_5,70_71_72_69p,15_6_8_1p
100_143,1_3,66_67,12_3
100_143,1_3,66_67_65p,12_3_5p
100_143_43p,1_3_4p,66_67,12_3
58_101,3_5,80_81_79p,14_5_7p
113_70p,4_1p,43_44p,11_2p
126_26p,5_3p,23_24p,15_6p
27_70p,3_1p,41_40p,13_6p
127_27p,5_3p,39_40p,15_6p
29_72_115,1_3_4,74_75_76_73p,11_2_4_13p
1_101_58p,1_3_5p,81_82_83,12_3_5
1_58_101,1_3_5,81_82_83p,12_5_3p
1_44_101,1_3_4,82_83_81p,12_3_5p
15_58,2_5,79_80_78p,14_7_16p
58_101,3_5,79_80,14_7
58_101_15p,3_5_2p,79_80,14_7
29_72_129p,1_3_5p,73_74,13_4
29_72_129,1_3_5,73_74,13_4
29_72_129,1_3_5,73_74_72p,13_4_6p
28_71_114p,1_3_4p,58_59,11_4
71_114,1_4,59_60_58p,11_2_4p
28_71,1_3,58_59_57p,11_4_13p
1_58_101,1_3_5,80_81_79p_82p,14_5_12p_7p
28_128,3_5,55_56_57p,15_6_13p
140_40p,1_4p,18_19p,12_3p
29,3,73_74,13_4
29,3,73_72p,13_6p
29,3,73,13
29,3,73_74p,13_4p
29_72,1_3,74_73p,4_13p
72_115p,1_4p,74_75,11_4
72_115,1_4,75,11
72_115,1_4,75_74p,11_4p
72_115,1_4,75_76p,11_2p
72_115,1_4,76,2
72_115,1_4,76_77,2_9
115_72p,4_1p,76_77,2_9
72_115,1_4,76_77p,2_9p
15_115,2_4,77,9
15_115,2_4,77_76p,9_2p
15_115,2_4,77_78p,9_16p
29_72_129_115p,1_3_5_4p,72_73_74_75p,13_4_6_11p
29_72_129,1_3_5,73_74_75,11_13_4
29_72_129p,1_3_5p,73_74_75,11_13_4
29_72_129,1_3_5,73_74_75p,13_4_11p
29_72_129,1_3_5,72_73_74_75,11_13_4_6
29_86_129_43p,2_3_5_4p,69_70_71,1_15_8
72_115_15p,1_4_2p,75_76_74p,11_2_4p
28_128,3_5,56_57p,6_13p
83_40p,2_4p,20p_21p,1p_10p
28_128_85p,3_5_2p,55_56,15_6
85_128_28p,2_5_3p,55_56,15_6
143,1,68,10
68,1,9_10,13_4
43_100_143,1_3_4,64_65_66_67,12_14_3_5
43_100_143,1_3_4,65_66_67_68,10_12_3_5
43_100_143,1_3_4,66_67_68_65p,10_12_3_5p
43_57_100_143,1_3_4_5,64_65_66_67,12_14_3_5
40_83,2_4,19_20,10_3
43_57_100_143,1_3_4_5,64_65_66,12_14_5
14_57,2_5,62_63_64p,16_7_14p
43_100_143,1_3_4,65_66_67_68p,12_3_5_10p
45,5,100,11
2,2,100,11
28_71_114,1_3_4,58_59_57p,11_4_13p
43_86_143_100p,1_2_4_3p,66_67_68,10_12_3
71_114_14p,1_4_2p,59_60,11_2
43_86_129_143,1_2_4_5,67_68_69,1_10_3
57_100_143p,3_5_1p,64_65_63p,14_5_7p
98_141p,3_1p,33_32p,5_14p
28_71_114,1_3_4,57_58_59,11_13_4
43_143_86p,1_4_2p,67_68_69p,10_3_1p
43_100_143,1_3_4,65_66_67_64p,12_3_5_14p
43_100_143_86p,1_3_4_2p,66_67_68,10_12_3
43_100_143,1_3_4,64_65_66,12_14_5
100_143_43p,1_3_4p,65_66,12_5
126_26p_83p,5_2p_3p,21p_22p_23p_24p,1p_15p_6p_8p
1_44,1_4,83_84,10_3
28_71_114p,1_3_4p,58_59_57p,11_4_13p
56_99,3_5,48_49,14_5
14_57_100p,2_5_3p,63_62p_64p,7_14p_16p
40_83p,4_2p,19_20,10_3
14_57_100p,2_5_3p,63_64_62p,14_7_16p
2_45,2_5,100,11
43_100_143,1_3_4,65_66,12_5
14_114,2_4,60_61_62p,2_9_16p
100_143_43p,1_3_4p,66_67_65p,12_3_5p
101,3,81_82,12_5
27_127,3_5,39,15
43_143,1_4,68,10
40_83,2_4,20_19p,10_3p
28_85_128,2_3_5,54_55_56,15_6_8
14_114,2_4,61_60p_62p,9_16p_2p
15_58_101p,2_5_3p,78_79_80p,16_7_14p
1_101,1_3,82_83,12_3
43_100_143_57p,1_3_4_5p,64_65_66,12_14_5
14_57_100p,2_5_3p,62_63_64,14_16_7
28_85_128,2_3_5,55_56_54p,15_6_8p
40_83p,4_2p,20_19p,10_3p
57_100,3_5,64_63p_65p,14_5p_7p
57_100_143_43p,1_3_5_4p,64_65_66,12_14_5
100_57p_143p,3_1p_5p,64_65_66p,14_5_12p
43_57_100_143,1_3_4_5,64_65_66_67p,12_14_5_3p
43_86_143_129p,1_2_4_5p,67_68_69,1_10_3
54_11p,5_2p,14_15p,16_7p
28_71_114p,1_3_4p,57_58_59,11_13_4
43_100_143,1_3_4,64_65_66_67p,12_14_5_3p
86_129_43p,2_5_4p,70_71_69p,15_8_1p
57_14p_100p,5_2p_3p,62p_63p_64p_65p,14p_16p_5p_7p
43_86_129_143,1_2_4_5,67_68_69_70p,1_10_3_8p
83,2,21p_22p,1p_8p
114_14p_71p,4_1p_2p,60_59p_61p,2_11p_9p
11_54p,2_5p,13_14p,9_16p
15,2,77_78,16_9
14_57_114p,2_5_4p,61_62,16_9
100_143_57p,1_3_5p,64_65_66p,14_5_12p
14_57_114p,2_5_4p,61_62_63p,16_9_7p
43_100_143_57p,1_3_4_5p,64_65_66_67,12_14_3_5
28_128,3_5,56_55p_57p,6_13p_15p
127_27p,5_3p,39,15
68,1,10_9p,4_13p
85_128,2_5,54_53p_55p,8_1p_15p
45,5,100_101,11_2
14_114_71p,2_4_1p,60_61_59p,2_9_11p
15_115p,2_4p,77_78,16_9
28_128,3_5,56_57_55p,13_6_15p
14_114,2_4,60_61_59p,2_9_11p
1,1,82_83,12_3
71_114_14p,1_4_2p,59_60_61p,11_2_9p
14_114_71p,2_4_1p,60_59p_61p,2_11p_9p
14_57_100p,2_5_3p,62_63_64p,16_7_14p
56_99,3_5,48_49p,14_5p
14_57_100p,2_5_3p,62_63,16_7
54,5,14p_15p,16p_7p
11_54,2_5,13,9
11,2,13_12p_14p,9_16p_2p
83_126p,2_5p,21p_22p,1p_8p
29_129p,3_5p,72_73_74p,13_6_4p
28_71_114p,1_3_4p,58_57p_59p,4_11p_13p
43_143_100p,1_4_3p,66_67_68p,12_3_10p
15_58_101,2_3_5,79_80_78p_81p,14_7_16p_5p
14_57,2_5,62_63_61p,16_7_9p
57_100_14p,3_5_2p,63_64_62p,14_7_16p
57_14p_100p,5_2p_3p,63_62p_64p,7_14p_16p
14_57,2_5,62_61p_63p,16_7p_9p
14_57p_114p,2_4p_5p,61_62,16_9
11_54p_111p,2_4p_5p,12p_13p_14p,16p_2p_9p
1_58_101,1_3_5,81_82_80p_83p,12_5_14p_3p
86_129_43p,2_5_4p,69_70_71p,1_8_15p
