s2_id,s2_acq_id,l8_9_id,l8_9_acq_id
69_112p,1_4p,27,11
69,1,27_26p,11_4p
28_128,3_5,56_57,13_6
97_140p,3_1p,17,5
41,4,36_35p,10_3p
70_113,1_4,43_42p,11_4p
70_113,1_4,43_44p,11_2p
126_26p,5_3p,23,15
56,5,47_48,14_7
56_99,3_5,47_48,14_7
113,4,44_43p,2_11p
12,2,29_30p,9_16p
140,1,18_19p,12_3p
140_40p,1_4p,18_19,12_3
56_99,3_5,48,14
26_69,1_3,24_25,13_6
26_69,1_3,25_24p,13_6p
56_99p,5_3p,47_48,14_7
41,4,35_36p,3_10p
41_141,1_4,34_35,12_3
41_141,1_4,35_34p,3_12p
141_41p,1_4p,34_35,12_3
54_11p,5_2p,14,16
69_26p,1_3p,25p_26p,13p_4p
26_69p,3_1p,24_25,13_6
26_69p,3_1p,25_24p,13_6p
98_141,1_3,33_34p,5_12p
141,1,34_33p,12_5p
141_98p,1_3p,33_34,12_5
41,4,36_37,1_10
41_84,2_4,37_36p,1_10p
13_56,2_5,45_46,16_9
27_127,3_5,40,6
127,5,39_38p,15_8p
127,5,39_40p,15_6p
127_84p,5_2p,38_39,15_8
29_72_115,1_3_4,73_74_75,11_13_4
15_72_115,1_2_4,74_75_76,11_2_4
15_72_115,1_2_4,75_76_77,11_2_9
29_129,3_5,71_72_73,13_15_6
29_129,3_5,71_72,15_6
86_129,2_5,70_71,15_8
29_72,1_3,74_75,11_4
29_72,1_3,74_75_73p,11_4_13p
86_129,2_5,70_71_72,15_6_8
86_129,2_5,71_72,15_6
72_115,1_4,75_76,11_2
84_41p,2_4p,37,1
12,2,30_29p,16_9p
57,5,64,14
57,5,63_64,14_7
100,3,64_65,14_5
43_100_143,1_3_4,66_67,12_3
82,2,5,1
82,2,4_5,1_10
82,2,4,10
43_86,2_4,68_69_70,1_10_8
39,4,4,10
57,5,63,7
55_98,3_5,31_32,14_7
100,3,65_66,12_5
100,3,66,12
57_100,3_5,64,14
57,5,63_64p,7_14p
100,3,65,5
39_82,2_4,4,10
100_143,1_3,66,12
14_57,2_5,63,7
14,2,62_63,16_7
43_86,2_4,69_68p_70p,1_10p_8p
43_86,2_4,68_69,1_10
43_86_129,2_4_5,69_70,1_8
43_86,2_4,69_70,1_8
43_86,2_4,69_70_68p,1_8_10p
43_86_129,2_4_5,68_69_70,1_10_8
43_86_129,2_4_5,69_70_71,1_15_8
29_86_129,2_3_5,70_71_72,15_6_8
57_100_143,1_3_5,64_65_66,12_14_5
43_143,1_4,67_68,10_3
43_86_143,1_2_4,68_69,1_10
43_86_143,1_2_4,67_68_69,1_10_3
129_29p_86p,5_2p_3p,71_70p_72p_73p,15_13p_6p_8p
43_86,2_4,68_69_70p,1_10_8p
29_86_129,2_3_5,71_72_70p_73p,15_6_13p_8p
29_86_129,2_3_5,71_72_73,13_15_6
29_86_129_72p,2_3_5_1p,71_72_73,13_15_6
29_72_129,1_3_5,71_72_73,13_15_6
29_72_129,1_3_5,71_72_73_74,13_15_4_6
29_72_129,1_3_5,72_73_74,13_4_6
43_86_143,1_2_4,66_67_68,10_12_3
29_86_129,2_3_5,70_71_72_73,13_15_6_8
57_100,3_5,64_65,14_5
57_100_143,1_3_5,64_65,14_5
100_143,1_3,65_66_64p,12_5_14p
100_143,1_3,64_65_66,12_14_5
100_143,1_3,65_66,12_5
100_143,1_3,65_66_67,12_3_5
43_100_143,1_3_4,65_66_67,12_3_5
43_143,1_4,66_67,12_3
43_143,1_4,66_67_68p,12_3_10p
43_143,1_4,66_67_68,10_12_3
43_143,1_4,67_68_66p,10_3_12p
29_129,3_5,71_72_73p,15_6_13p
29_129,3_5,72_73,13_6
14_114,2_4,60_61,2_9
14_114,2_4,60_61_62,16_2_9
14_114,2_4,61_62,16_9
14_57,2_5,61_62,16_9
14_57,2_5,61_62_63,16_7_9
86_129,2_5,69_70_71,1_15_8
43_86_143,1_2_4,67_68,10_3
86_129_43p,2_5_4p,69_70_71,1_15_8
