gnis_id,gnis_name
00790898,South Fork Alkali Creek
00378716,Calhoun Creek
00400185,Smorgasbord Creek
01504094,Colza Creek
00393404,Wickiup Creek
00786129,Lime Creek
00378325,Brush Creek
00393080,West Fork Creek
00374310,Panther Lateral
00843869,South Fork Willow Creek
00791024,South Fork Parmenter Creek
00371178,Dairy Creek
00380195,Cutoff Creek
00372769,Fourth Creek
00390399,Siamese Creek
00781292,Circle Creek
00378600,Butte Creek
00380525,Devil Creek
00393304,Whistling Creek
00376449,West Camas Creek
01506596,Meadow Creek
00786569,Lost Branch
00384823,Little Elk Creek
01507360,Pell Creek
01503947,Chester Creek
02569140,Lateral S-6
00392396,Triple Creek
00388600,Pleasant Creek
01445877,South Fork Smith Creek
01590627,Leeds Creek
01142390,Little Fall Creek
00382714,Grouse Creek
00381125,East Fork Lake Fork
00379088,Cedar Creek
00859395,Cougar Creek
00397457,Blind Creek
00789183,Price Creek
00390498,Sixmile Creek
00377477,Big Creek
00785899,Lake Creek
00386547,Maxfield Creek
00381803,Fivemile Creek
00780850,Camp Creek
00383540,Hump Creek
00391550,Strychnine Creek
00379885,Cougar Creek
00373476,Lateral 702
00379295,China Creek
00391380,Station Fork
00387980,Opposite Creek
00383945,John Crown Creek
00793091,West Fork Trout Creek
01443103,Malad River
00383985,Johnson Creek
00382731,Grouse Creek
00388079,Pabawena Ditch
00382877,Hanson Creek
00376373,East Side Canal
00379505,Cold Creek
00379734,Corbett Creek
00376507,Alder Creek
00381551,Fall Creek
00378916,Caribou Creek
00384943,Little Sheep Creek
00373786,MacGregor Creek
00780657,Burrell Creek
00807046,East Fork Saint Louis Creek
00382442,Goose Creek
00373426,Knox Creek
00375171,South Power Lateral
00382529,Granite Creek
00384248,Kinnikinic Creek
00789929,Sinclair Creek
00781314,Clark Creek
00395169,Cain Creek
00391144,Sprague Creek
00390973,South Fork Mill Creek
01603212,South Twin Creek
00387507,Nelson Creek
01123026,Leep Creek
00393542,North Wilson Creek
00395873,R Canal
00386022,Lonesome Creek
01444834,Red Rock Creek
00860940,Piccolo Creek
00783123,Elk River
02518759,J Waste
01520183,Graham Creek
00378091,Boulder Creek
00862225,Niagara Creek
01589751,Hot Foot Creek
00391407,Steep Creek
00399961,Little Queens River
00396480,Fedar Creek
02517355,J 19.1 Lateral
00372644,F Waste Canal
00373777,Lunch Creek
00792393,Trout Creek
00387325,Mud Creek
00382092,Fritz Creek
00386840,Middle Fork Saint Maries River
00387755,North Fork Queen Creek
00386785,Middle Creek
00383938,Joes Creek
00381912,Foolhen Creek
00789536,Reservoir Creek
00392111,Thunder Creek
01605553,Burnt Fork Creek
02517373,J 23 C Lateral
00381180,East Fork Waw’aalamnime Creek
00392297,Trail Creek
01603139,South Fork Game Creek
00781698,Corral Creek
00382803,Hailey Creek
00387176,Moose Creek
00373420,Kinney Creek
00799108,Boyd Creek
01447106,Wellsville Creek
00375731,Warm Creek
00383622,Ikes Creek
00392458,Turnbull Creek
00377268,Beaver Dam Creek
00393248,West Thurmon Creek
00378633,Cabin Creek
00377806,Blackie Creek
00378514,Burgdorf Creek
00388093,Packer Creek
00387131,Moon Creek
00376539,Allan Creek
00377611,Big Tinker Creek
00781780,Cow Creek
00782830,East Fork Crow Creek
00383444,Hot Spring Creek
00374192,North Fork Cougar Creek
01603415,Stub Creek
01598651,Cascade Creek
00372443,Dotson Drain
01141371,Duck Creek
00390575,Slaughter Creek
00388642,Poison Creek
00381068,East Fork Clear Creek
00393165,West Fork Peasley Creek
00788150,North Fork Eightmile Creek
00859137,Camp Creek
00375575,Treasureton Canal
00391375,Station Creek
00389448,Robin Creek
00395932,Sheep Creek
00390485,Sister Creek
00399045,Gibbs Creek
00393183,West Fork Rock Creek
00398164,Spread Creek
00388999,Rabbit Creek
00400103,South Nampa Lateral
00390626,Slim Creek
00381110,East Fork Herd Creek
00382445,Goose Creek
00785197,Hyde Creek
00386453,Marble Creek
00793132,West Terrell Creek
